Workers,TraceId,BatchId,EventCount_x,Trace point start,Trace point stop,Batch Duration,Avg_Event_Duration
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,00524af5-b66b-4db4-a331-d83508dcb23a,600,1754090011472,1754090012363,891,1.485
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,05f6e763-f127-45d8-848c-006eece109cc,2000,1754090026766,1754090030075,3309,1.6545
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,09f6b6a9-ea9c-401f-a711-aed8abafb47a,2000,1754089967446,1754089970563,3117,1.5585
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,0a192032-a720-4313-83c8-5207b8187310,600,1754090040237,1754090041173,936,1.56
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,0bf9a43f-9c6b-4819-9244-eff81d905cff,2000,1754090013402,1754090016534,3132,1.566
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,1a9c1bd0-7523-472d-9673-2aaba0900372,2000,1754089958098,1754089961290,3192,1.596
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,219378b7-232c-45f8-ba89-d047e73caa87,2000,1754089973288,1754089976585,3297,1.6485
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,233c4706-e194-42a1-bab3-e74e86f77ba8,2000,1754090036550,1754090039719,3169,1.5845
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,236e5c25-c5d9-4314-83bd-c063648f605e,600,1754089981208,1754089982131,923,1.5383333333333333
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,29540950-9604-494e-ae77-853b7725f33d,600,1754089951459,1754089952429,970,1.6166666666666667
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,2fbc1b29-6247-44d5-9f52-c2c514fe1c99,600,1754090030914,1754090031817,903,1.505
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,3291169a-9183-4c10-9cb9-34a1b3139df7,2000,1754089982958,1754089986109,3151,1.5755
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,338f8328-fed4-4877-a59e-2336bef4dc4d,2000,1754089987897,1754089990942,3045,1.5225
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,38cc4dc0-72c6-4c3a-894f-20d60ab00b13,600,1754090002232,1754090003142,910,1.5166666666666666
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,3ff9f1ae-f1d6-4679-a0d7-296da40a961f,47,1754089941574,1754089941685,111,2.3617021276595747
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,46ff6a95-ce71-402c-884b-94a2ffaf3a6f,2000,1754089942873,1754089946111,3238,1.619
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,47174e21-d810-460a-9b9e-4fad122dd37c,2000,1754089998196,1754090001710,3514,1.757
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,5664ec68-d55b-40a1-9254-dd8425dc3719,2000,1754090007500,1754090010803,3303,1.6515
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,582aa925-d918-4aa8-b8f0-c285e1742c7b,2000,1754090022980,1754090026050,3070,1.535
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,5e01669a-fadd-46b0-9c31-f2734cf88433,2000,1754089953355,1754089956563,3208,1.604
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,639c4510-0f77-49a0-a889-25902ec61e98,2000,1754089977366,1754089980552,3186,1.593
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,63d4e6ee-4c70-4038-832d-d44b2b1281fb,600,1754089961853,1754089962746,893,1.4883333333333333
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,75d041bb-1871-4ef5-b621-7d4a12f18570,600,1754089971146,1754089972083,937,1.5616666666666668
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,77255887-a166-4290-ada8-4aef734c85a5,2000,1754090003784,1754090006819,3035,1.5175
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,802c91a5-c6fd-41dd-9f42-8f2dd762b873,2000,1754090032563,1754090035832,3269,1.6345
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,82b7c17d-5592-457c-a35a-b8061069cea2,2000,1754090042106,1754090045404,3298,1.649
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,86f36c66-9ce0-405a-8b8e-d74c23d155b9,1953,1754090046223,1754090049380,3157,1.6164874551971327
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,942dac49-67dc-44bb-b98d-55e67a794ab7,2000,1754089994098,1754089997374,3276,1.638
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,b3e3f5a6-39d8-43e4-9c3b-4e19cb0d9daa,600,1754090020824,1754090021732,908,1.5133333333333334
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,e18b39b0-4f50-4a8b-9488-d5adb2510e36,600,1754089991614,1754089992591,977,1.6283333333333334
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,f36d4b68-5f54-4eee-b840-1f050290b7e0,2000,1754089963633,1754089966818,3185,1.5925
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,f432742b-63f2-4a5a-b51f-4784e365ae19,2000,1754090017185,1754090020300,3115,1.5575
1,06cc6f05-e8f3-4237-8ec7-66922967edb3,fe7b7672-def9-4aea-bf41-627960ee2fe5,2000,1754089947417,1754089950587,3170,1.585
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,00f49621-82ce-4d60-b5f7-6eb2a83af1ac,2000,1754092961120,1754092963767,2647,1.3235
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,026bd319-4737-46a2-ba7a-4b9265df0d47,2000,1754092968372,1754092971067,2695,1.3475
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,02c7ad22-d7d1-4bf9-8620-133a94763f96,2000,1754092957013,1754092959668,2655,1.3275
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,036d664e-427d-4b0d-b3cd-1ba98e938e0c,2000,1754092946798,1754092949445,2647,1.3235
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,04d1d55f-4cfa-40f9-8744-3213e2a1f5fb,1971,1754092978584,1754092981267,2683,1.3612379502790461
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,0a5704ce-7aa1-488b-b98a-7d57d2fb8273,2000,1754092907717,1754092910523,2806,1.403
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,0cbeffb0-148b-4de5-87a0-dbc4665fb490,600,1754092936877,1754092937688,811,1.3516666666666666
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,1369f6f5-d2df-4733-b76c-ec12a4cac65e,2000,1754092949726,1754092952458,2732,1.366
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,179682c9-9cb3-475f-afed-c1b30be37c79,600,1754092913618,1754092914421,803,1.3383333333333334
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,3c6e3e1b-c94a-4fbf-8e0f-96f46eabc921,2000,1754092915596,1754092918218,2622,1.311
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,4203fc89-17bd-498a-94c6-4f0597834d62,2000,1754092923116,1754092926070,2954,1.477
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,54e45afb-8ab9-46c2-89be-649c21107154,29,1754092899505,1754092899579,74,2.5517241379310347
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,558cd2bb-badc-4b94-8ae6-bfd8ef6697b0,2000,1754092900353,1754092903109,2756,1.378
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,562fe30b-8549-4825-8be0-04a5d9d2325e,2000,1754092964036,1754092966702,2666,1.333
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,66088d81-e238-4348-a9be-5c122a4c9809,600,1754092944753,1754092945637,884,1.4733333333333334
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,764a52d6-49a4-4eb0-b814-d837a33becc1,2000,1754092938815,1754092941572,2757,1.3785
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,83be203b-900b-4fd4-afbf-65940050f5fd,2000,1754092903389,1754092906155,2766,1.383
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,854aa431-c5cd-4a1a-8a39-81276e6536c3,2000,1754092910800,1754092913464,2664,1.332
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,8602bcb7-4da4-47de-a48d-3743a080d2e6,2000,1754092930841,1754092933715,2874,1.437
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,924345c0-96b8-474f-94fa-2b327e094da3,2000,1754092971356,1754092974007,2651,1.3255
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,93a93ab7-ed04-4116-9148-13225e24f681,600,1754092906320,1754092907134,814,1.3566666666666667
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,94ebc593-28ff-4bf3-979a-596bcd951ce3,600,1754092959823,1754092960648,825,1.375
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,a2cd7b16-9a01-4d24-a1e3-881e1ed5bdfc,2000,1754092975508,1754092978264,2756,1.378
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,c06b01b9-89ed-48aa-a0c2-eb5fac86cefb,600,1754092974173,1754092974993,820,1.3666666666666667
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,d9e6dfbd-8cff-4b7c-b234-df6a0add4674,600,1754092952622,1754092953398,776,1.2933333333333332
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,da6dc879-b3a0-466a-8844-ebc59d0c6d4c,600,1754092966857,1754092967658,801,1.335
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,de212473-8602-4c46-81e2-f3b0054d3169,2000,1754092926369,1754092929157,2788,1.394
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,e24fc427-5b0e-4773-8c9e-ba2d64b9f5c8,2000,1754092954014,1754092956726,2712,1.356
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,e5de9091-48bc-4507-bdf4-b2c6172fc16c,2000,1754092934002,1754092936716,2714,1.357
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,e6748d84-c2f0-4f2a-81c3-522155b7cc42,600,1754092921386,1754092922209,823,1.3716666666666666
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,ea2f5e8a-5725-4669-b0a5-6e7601318d5c,2000,1754092918496,1754092921175,2679,1.3395
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,ed3cc514-9e5d-4642-9e09-541cacbc7780,2000,1754092941855,1754092944590,2735,1.3675
1,07f3dd4c-b5e6-436b-b78b-e7d7fc64ee64,f5a37a7b-4930-4594-8801-cc2ad7bcef2c,600,1754092929322,1754092930148,826,1.3766666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,0d18f156-cb6b-4483-b185-aa7c0f12f553,2000,1754067327588,1754067330322,2734,1.367
1,2e4a842c-d384-4117-a615-f287011888e9,127abcbc-ac39-4212-aad5-613f7a52ebb5,2000,1754067389465,1754067392182,2717,1.3585
1,2e4a842c-d384-4117-a615-f287011888e9,16f83cb0-31bc-4456-898f-92edad9ec5e1,600,1754067392343,1754067393187,844,1.4066666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,2436ba7c-84dd-4f60-b093-49f375aea024,2000,1754067365035,1754067367853,2818,1.409
1,2e4a842c-d384-4117-a615-f287011888e9,2f8340dc-14cf-4259-817e-4ca1d76cc12d,2000,1754067343414,1754067346002,2588,1.294
1,2e4a842c-d384-4117-a615-f287011888e9,3cb8a9ef-efb9-481e-b14f-2583a83b510c,600,1754067326035,1754067326853,818,1.3633333333333333
